,PermissionType,Value
0,Photos/Media/Files,"['modify or delete the contents of your USB storage', 'read the contents of your USB storage']"
1,Phone,['read phone status and identity']
2,Microphone,['record audio']
3,Device ID & call information,['read phone status and identity']
4,Contacts,"['find accounts on the device', 'read your contacts']"
5,Device & app history,['read your Web bookmarks and history']
6,Identity,"['add or remove accounts', 'find accounts on the device']"
7,Wi-Fi connection information,['view Wi-Fi connections']
8,Storage,"['modify or delete the contents of your USB storage', 'read the contents of your USB storage']"
9,Location,"['approximate location (network-based)', 'precise location (GPS and network-based)']"
10,Camera,['take pictures and videos']
11,Other,"['access Bluetooth settings', 'change network connectivity', 'change your audio settings', 'control Near Field Communication', 'control vibration', 'full network access', 'install shortcuts', 'pair with Bluetooth devices', 'prevent device from sleeping', 'read Google service configuration', 'read sync settings', 'reorder running apps', 'run at startup', 'toggle sync on and off', 'use accounts on the device', 'view network connections', 'write web bookmarks and history']"
12,Uncategorized,"['download files without notification', 'read sync statistics', 'receive data from Internet']"
