,PermissionType,Value
0,Microphone,['record audio']
1,Wi-Fi connection information,['view Wi-Fi connections']
2,Contacts,"['find accounts on the device', 'read your contacts']"
3,Identity,"['add or remove accounts', 'find accounts on the device']"
4,Location,"['approximate location (network-based)', 'precise location (GPS and network-based)']"
5,Device ID & call information,['read phone status and identity']
6,Photos/Media/Files,"['modify or delete the contents of your USB storage', 'read the contents of your USB storage']"
7,Phone,['read phone status and identity']
8,Device & app history,['read your Web bookmarks and history']
9,Storage,"['modify or delete the contents of your USB storage', 'read the contents of your USB storage']"
10,Camera,['take pictures and videos']
11,Other,"['access Bluetooth settings', 'change network connectivity', 'change your audio settings', 'control Near Field Communication', 'control vibration', 'full network access', 'install shortcuts', 'pair with Bluetooth devices', 'prevent device from sleeping', 'read Google service configuration', 'read sync settings', 'reorder running apps', 'run at startup', 'toggle sync on and off', 'use accounts on the device', 'view network connections', 'write web bookmarks and history']"
12,Uncategorized,"['download files without notification', 'read sync statistics', 'receive data from Internet']"
